,Unnamed: 0,Datetime,Text,label
0,0,2023-02-06 23:59:56+00:00,Gila BPOM bener deh ini PR besar buat kalian hey Bangke kemarin anak gue sempet demam sama ke spa dikasih praxion mana batch nya sama lagi Qw h,0
1,1,2023-02-06 23:59:53+00:00,kontol,1
2,2,2023-02-06 23:59:52+00:00,Iya tai,0
3,3,2023-02-06 23:59:47+00:00,enak aja gila,0
4,4,2023-02-06 23:59:44+00:00,Haechan lagi gila gilaan gantengnya ya pusing dah,0
5,5,2023-02-06 23:59:42+00:00,Lo bego apa tolol dah Dijelasin sepanjang itu kok masih ada pertanyaan kek begini kwoakwoak,0
6,6,2023-02-06 23:59:40+00:00,sekolah rapat bangsat HAHAHAHAHAH,1
7,7,2023-02-06 23:59:31+00:00,ruka asa chiquita haram rora pharita ahyeon,0
8,8,2023-02-06 23:59:29+00:00,Ama haram,1
9,9,2023-02-06 23:59:13+00:00,udah nggak usah ada lagi HK itu yg suka telat atau sering salah choreo Bangsat,1
10,10,2023-02-06 23:59:11+00:00,ID Kalau itu masi ada perbedaan pendapat si bang kalo halal haram di qur an kan sudah jelas hukumnya correct me if i wrong,0
11,11,2023-02-06 23:59:10+00:00,Gila kenapa air mata gw gak bisa berhenti sih,0
12,12,2023-02-06 23:59:09+00:00,Ini kost isinya rambut semua Gimana dah cara ngatasin rambut rontok Gila rontok banget,0
13,13,2023-02-06 23:58:56+00:00,chotimah Makin goblok aja nih orang,1
14,14,2023-02-06 23:58:53+00:00,Yang less likely bukan tidak mungkin digantikan oleh AI itu judgement Edukasi yg ngajarin pengambilan keputusan sampe ke level fundamental atau bahkan filosofis jadi penting Bahkan engineer kalo edukasinya adalah penggunaan tools dan ngejalanin algoritma ya bakal kelibas,0
15,15,2023-02-06 23:58:49+00:00,Bisa gila gue,0
16,16,2023-02-06 23:58:44+00:00,damned society usually act before thinking Seperti itu lantas ekspresinya berangsur menyedihkan macam film cengeng tontonan malam Air mata bohongan mereka bilang He hit me Dia berteriak ke seluruh ruangan Cukup untuk membuat orang tolol itu berdatangan,0
17,17,2023-02-06 23:58:44+00:00,Lu tolol anjing mending tidur lagi sono,1
18,18,2023-02-06 23:58:42+00:00,kontol O nya banyak,1
19,19,2023-02-06 23:58:35+00:00,Si goblok ini maksudnya CAT A day ya guys aku tim trauma day soalnya,0
20,20,2023-02-06 23:58:31+00:00,Sianuu ye gblk nyalahin gua mah belajar tolol lu main tiktok bae makanya kaga digubris,0
21,21,2023-02-06 23:58:29+00:00,tai stop cerita horror itu,0
22,22,2023-02-06 23:58:27+00:00,Orang gila yg merasa sdh mewakili Tuhan dg tafsir versi nya sendiri,0
23,23,2023-02-06 23:58:16+00:00,Gila mirip cuy,0
24,24,2023-02-06 23:58:16+00:00,Ndak bapak mu Bodat kurap pura goblok gak baca berita klo mahasiswa tsb terjatuh krn menghindari motor lain yg mau nyebrang,0
25,25,2023-02-06 23:58:07+00:00,Fyp tiktok isinya marella semua gila cantiknya gk ketampung,0
26,26,2023-02-06 23:58:05+00:00,pagi dah nengok orang tolol,0
